rank,date,year,month,phase,phase_description,day_of_year,coverage_points,coverage_percent,mean_precip,max_precip,min_precip,std_precip,mean_anomaly,max_anomaly,std_anomaly,centroid_lat,centroid_lon,centroid_region,centroid_department,centroid_climate_zone,max_intensity_lat,max_intensity_lon,max_intensity_region,max_intensity_department,lat_extent_deg,lon_extent_deg,lat_extent_km,lon_extent_km,regions_affected,departments_affected,climate_zones_affected,intensity_concentration,spatial_dispersion,anomaly_severity,geographic_validation
466,2009-07-30,2009,7,Phase_2_pleine,Pleine saison,211,106,23.556,24.924609886025483,48.443,13.41330337524414,7.349780455184183,3.1348897533362474,5.837,0.9561031052312782,15.188,-12.769,Matam,Kanel,Zone soudano-sahélienne,15.125,-11.375,Matam,Kanel,4.25,5.25,473.11,564.0154226206688,7,11,3,0.0102542876068012,736.1701294225212,2.9185010750505964,PASSED
467,1981-08-27,1981,8,Phase_2_pleine,Pleine saison,239,106,23.556,26.396226693999093,72.081,13.992783546447754,10.345383866878004,2.829507424834984,5.329,0.598186840856461,14.857,-13.781,Matam,Ranérou,Zone soudano-sahélienne,12.375,-11.375,Kédougou,Saraya,4.25,5.25,473.11,564.8921633329202,9,19,3,0.0108830799454318,736.8420581745769,2.66470679094709,PASSED
469,1996-07-31,1996,7,Phase_2_pleine,Pleine saison,213,106,23.556,30.13105494121336,54.763,13.251018524169922,9.08309183345516,2.9346170613934217,4.946,0.6676044207252642,13.995,-15.39,Kaffrine,Malem-Hodar,Zone soudano-sahélienne,12.625,-14.875,Kolda,Kolda,3.75,2.5,417.45,270.03957434942413,10,22,3,0.0102912623559085,497.17792322247993,2.4730465519389155,PASSED
470,1982-08-14,1982,8,Phase_2_pleine,Pleine saison,226,106,23.556,23.823520750369667,41.643,12.731895446777344,6.50443858172937,2.849882777607584,4.721,0.6932862431451563,15.239,-13.593,Matam,Ranérou,Zone soudano-sahélienne,15.125,-13.625,Matam,Ranérou,3.75,4.5,417.45,483.3252188394204,7,13,3,0.0101371995373298,638.6452714858019,2.3604901981785185,PASSED
472,1988-08-09,1988,8,Phase_2_pleine,Pleine saison,222,105,23.333,44.34156323387509,108.636,16.563451766967773,21.003382605660097,3.3278453283027187,6.103,1.0063170695124992,13.231,-14.322,Tambacounda,Tambacounda,Zone soudanienne,12.375,-14.375,Kolda,Médina Yoro Foulah,2.5,3.75,278.3,406.36879403241977,8,17,2,0.0116606258278178,492.5306889685791,3.051620546207384,PASSED
476,2019-08-25,2019,8,Phase_2_pleine,Pleine saison,237,105,23.333,33.89047876993815,63.09,20.19306182861328,6.943093916018168,2.4615122520448507,3.633,0.3466887892432839,13.406,-13.12,Tambacounda,Tambacounda,Zone soudanienne,12.375,-15.125,Sédhiou,Bounkiling,3.25,4.25,361.79,460.2182275224975,6,13,3,0.00992353457999,585.3997136627668,1.816347152141876,PASSED
478,1985-08-27,1985,8,Phase_2_pleine,Pleine saison,239,104,23.111,30.45743272854732,60.837,14.797536849975586,8.859132463785711,3.499021076382052,5.905,0.9435996151725,15.097,-14.524,Matam,Ranérou,Zone soudano-sahélienne,14.875,-13.625,Matam,Ranérou,2.75,3.0,306.13,322.43359288861615,7,17,2,0.0104288938068616,444.61106593073214,2.9527188989703386,PASSED
479,2007-07-05,2007,7,Phase_2_pleine,Pleine saison,186,104,23.111,17.3945305118194,37.932,7.896905422210693,4.93979815392375,3.109918837171177,5.426,0.6416899497507911,15.197,-12.641,Matam,Kanel,Zone soudano-sahélienne,15.125,-13.375,Matam,Kanel,2.5,3.0,278.3,322.2822357054264,3,8,2,0.010390845051212,425.8130132626151,2.713120085930878,PASSED
480,1990-07-17,1990,7,Phase_2_pleine,Pleine saison,198,104,23.111,26.117974162101746,39.177,14.510313987731934,4.868506571776883,3.168032181195412,5.121,0.7431872164599824,13.79,-13.536,Tambacounda,Tambacounda,Zone soudano-sahélienne,13.875,-13.625,Tambacounda,Tambacounda,2.5,4.75,278.3,513.5289367426468,7,15,2,0.009949486715878,584.0914754424459,2.5605863992094564,PASSED
481,2022-07-20,2022,7,Phase_2_pleine,Pleine saison,201,104,23.111,18.75911912551293,31.3,10.491869926452637,4.803487718242986,2.625070218173076,4.063,0.5017184692594371,14.629,-12.998,Tambacounda,Goudiry,Zone soudano-sahélienne,13.875,-12.875,Tambacounda,Goudiry,3.25,5.25,361.79,565.483470681581,7,15,3,0.0102458411454121,671.3148020314959,2.031315321670597,PASSED
