rank,date,source,total_area_km2,num_pixels_affected,coverage_percent,average_pixel_area_km2,centroid_lat,centroid_lon,centroid_region,centroid_department,centroid_climate_zone,max_intensity_mm,max_intensity_lat,max_intensity_lon,max_intensity_region,max_intensity_department,lat_extent_deg,lon_extent_deg,lat_span_km,intensity_stats_mean_mm,intensity_stats_median_mm,intensity_stats_std_mm,intensity_stats_min_mm,intensity_stats_max_mm,intensity_stats_p25_mm,intensity_stats_p75_mm,intensity_stats_p90_mm,intensity_stats_p95_mm,intensity_stats_p99_mm,intensity_stats_mean_anomaly,intensity_stats_max_anomaly,intensity_stats_extreme_pixels_pct,geometry_metrics_lat_extent,geometry_metrics_lon_extent,geometry_metrics_lat_span_km,shape_metrics_total_area_km2,shape_metrics_equivalent_radius_km,shape_metrics_perimeter_approx_km,shape_metrics_compactness,shape_metrics_elongation,connectivity_num_clusters,connectivity_largest_cluster_size,connectivity_largest_cluster_ratio,connectivity_fragmentation_index,geographic_analysis_total_coordinates,geographic_analysis_valid_coordinates,intensity_density,anomaly_severity,spatial_concentration
1003,2008-06-12,CHIRPS,42134.7578125,56,12.444444444444445,752.4063720703125,13.56138817342736,-12.429285610424243,Tambacounda,Goudiry,Zone soudano-sahélienne,23.944602966308594,13.375,-12.375,Tambacounda,Goudiry,2.75,2.25,306.13,16.77364698478154,16.948548316955566,4.521307664866825,6.145994186401367,23.944602966308594,13.702679872512817,20.704028129577637,22.428035736083984,22.90165090560913,23.681702613830566,2.5851967853016076,3.5093421514144927,14.285714285714286,2.75,2.25,306.13,42134.7578125,115.80979919433594,727.6544189453125,1.0000001192092896,0.9187173843383789,4,50,0.8928571428571429,0.07142857142857142,56,56,16.783984348620397,2.5851967853016076,0.15306470123087834
1004,2006-07-26,CHIRPS,69019.2421875,92,20.444444444444443,750.2091674804688,14.093745308785863,-14.357555919842587,Tambacounda,Koumpentoum,Zone soudano-sahélienne,36.55036926269531,12.375,-11.375,Kédougou,Saraya,4.25,5.25,473.10999999999996,23.34920885251916,23.276735305786133,4.18922216130502,15.201606750488281,36.55036926269531,20.299994945526123,25.97261142730713,28.49967193603516,30.64245777130127,34.5886503982544,2.1518222148251036,3.471517949098269,10.869565217391305,4.25,5.25,473.10999999999996,69019.2421875,148.2211456298828,931.3009643554688,0.9999998807907104,1.0328893661499023,8,46,0.5,0.08695652173913043,92,92,23.3696892194291,2.1518222148251036,0.09964153817174881
1005,2016-09-06,CHIRPS,85743.2734375,114,25.333333333333332,752.1339721679688,13.667305226776046,-15.216845934129777,Kaffrine,Malem-Hodar,Zone soudano-sahélienne,33.69558334350586,12.875,-16.625,Ziguinchor,Bignona,4.25,3.75,473.10999999999996,22.638649221052205,22.397677421569824,3.4180221007600218,11.767169952392578,33.69558334350586,20.63337230682373,24.274774074554443,26.65466232299805,28.3506459236145,32.68927768707275,1.9289032457177098,3.194382261616803,1.7543859649122806,4.25,3.75,473.10999999999996,85743.2734375,165.20571899414062,1038.0181884765625,1.0,0.8415502905845642,5,109,0.956140350877193,0.043859649122807015,114,114,22.647687683459296,1.9289032457177098,0.0810362379814602
1006,2001-08-05,CHIRPS,52309.30078125,70,15.555555555555555,747.2756958007812,15.25536477391699,-12.096813568834593,Matam,Kanel,Zone soudano-sahélienne,51.036865234375,14.875,-11.375,Matam,Kanel,4.25,4.5,473.10999999999996,27.279241616385324,25.592310905456543,8.723743830481299,11.64632797241211,51.036865234375,21.201372146606445,30.81535291671753,42.7423957824707,45.989858245849604,49.33761283874512,3.4308606031597964,7.854913204556194,45.714285714285715,4.25,4.5,473.10999999999996,52309.30078125,129.03707885742188,810.763916015625,0.9999998807907104,0.7128736972808838,7,39,0.5571428571428572,0.1,70,70,27.27026650595612,3.4308606031597964,0.1725386195768448
1007,2013-08-07,CHIRPS,54662.61328125,73,16.22222222222222,748.8029174804688,14.615137569576774,-16.27616600582815,Diourbel,Diourbel,Zone soudano-sahélienne,49.29703140258789,14.625,-16.375,Diourbel,Bambey,4.25,2.25,473.10999999999996,27.639673520440926,26.932411193847656,9.516063180947524,11.145325660705566,49.29703140258789,20.360397338867188,33.821815490722656,40.43694610595703,44.52549972534179,49.21254653930664,3.1894096544551247,7.606659270857033,46.57534246575342,4.25,2.25,473.10999999999996,54662.61328125,131.90773010253906,828.8007202148438,1.0000001192092896,0.35838305950164795,3,52,0.7123287671232876,0.0410958904109589,73,73,27.65697499428983,3.1894096544551247,0.1956609795743387
1008,1997-10-27,CHIRPS,41076.28125,55,12.222222222222221,746.8414916992188,15.122680295643798,-13.763506075967591,Matam,Ranérou,Zone soudano-sahélienne,5.591547012329102,15.125,-13.875,Matam,Ranérou,2.75,5.0,306.13,2.568611956726421,2.216162919998169,1.2363311708074145,0.7149179577827454,5.591547012329102,1.6213542222976685,3.462677001953125,4.392939281463623,4.7993088245391835,5.350600872039795,3.206239697957636,6.845689376179324,43.63636363636363,2.75,5.0,306.13,41076.28125,114.34590911865234,718.45654296875,0.9999999403953552,1.6897051334381104,7,32,0.5818181818181818,0.12727272727272726,55,55,2.571310086882017,3.206239697957636,0.269342177841454
1009,1987-06-12,CHIRPS,41545.26953125,55,12.222222222222221,755.3685302734375,12.662289384506382,-13.698953322114058,Tambacounda,Tambacounda,Zone soudanienne,47.155513763427734,12.375,-11.625,Kédougou,Saraya,2.0,5.25,222.64,24.500927283547142,23.41848373413086,8.658858437642154,10.1709623336792,47.155513763427734,17.77467918395996,29.416715621948242,36.38600845336914,41.303280258178695,45.96816635131836,3.29138364545383,5.9305168775444645,61.81818181818182,2.0,5.25,222.64,41545.26953125,114.996826171875,722.54638671875,1.0,3.935147762298584,3,40,0.7272727272727273,0.05454545454545454,55,55,24.51024719436374,3.29138364545383,0.19444428134891467
1010,2002-10-30,CHIRPS,41271.078125,55,12.222222222222221,750.3832397460938,13.725665839317804,-13.294431198477737,Tambacounda,Tambacounda,Zone soudano-sahélienne,13.690901756286621,12.375,-14.875,Kolda,Kolda,4.0,4.75,445.28,3.4641831213777716,3.3443593978881836,2.32271693790878,0.37027132511138916,13.690901756286621,1.5949962139129639,4.658533811569214,6.201101779937744,6.688151311874389,9.997525434494024,2.9322731167954994,5.298452400236713,36.36363636363637,4.0,4.75,445.28,41271.078125,114.6167221069336,720.1581420898438,0.9999998807907104,0.9932127594947815,12,23,0.41818181818181815,0.21818181818181817,55,55,3.4729970922225437,2.9322731167954994,0.3533247914761646
1011,1993-08-29,CHIRPS,40914.7890625,55,12.222222222222221,743.9052734375,16.13822055213002,-14.42852014880979,Matam,Ranérou,Zone sahélienne,34.516571044921875,15.625,-13.375,Matam,Matam,1.25,3.75,139.14999999999998,20.972967529296874,20.396865844726562,4.560580545432149,12.643773078918457,34.516571044921875,17.134109497070312,24.535778045654297,26.09536781311035,27.898340606689448,33.89979721069336,3.016950128990872,4.825566044269341,50.90909090909091,1.25,3.75,139.14999999999998,40914.7890625,114.12090301513672,717.0427856445312,1.0000001192092896,3.2035388946533203,2,53,0.9636363636363636,0.03636363636363636,55,55,20.9748704857788,3.016950128990872,0.12061267627589745
1012,2012-08-05,CHIRPS,84322.3203125,112,24.88888888888889,752.8778686523438,13.298475624048143,-14.428906910632792,Tambacounda,Tambacounda,Zone soudanienne,75.54381561279297,12.375,-16.625,Ziguinchor,Oussouye,3.0,4.25,333.96,29.406158719744003,25.281180381774902,11.396686508087898,17.494325637817383,75.54381561279297,21.91380262374878,32.40280246734619,43.68266334533692,55.25190601348874,67.4878939819336,1.9695767081976354,4.415071257182088,8.928571428571429,3.0,4.25,333.96,84322.3203125,163.83108520507812,1029.381103515625,1.0,1.1055359840393066,6,72,0.6428571428571429,0.05357142857142857,112,112,29.434785301095516,1.9695767081976354,0.1905832872926594
1013,1986-10-07,CHIRPS,41237.30078125,55,12.222222222222221,749.7691040039062,14.42604437800472,-14.831340576935444,Kaffrine,Koungheul,Zone soudano-sahélienne,18.30988883972168,14.125,-15.375,Kaffrine,Kaffrine,3.0,4.75,333.96,10.109753764759411,9.995094299316406,2.5940243005346915,3.3330774307250977,18.30988883972168,8.817681312561035,11.384939670562744,12.50592498779297,14.76449737548828,17.5018416595459,2.6634874688713395,4.388926835853972,23.636363636363637,3.0,4.75,333.96,41237.30078125,114.5698013305664,719.8633422851562,1.0,1.8726580142974854,3,53,0.9636363636363636,0.05454545454545454,55,55,10.113675927857622,2.6634874688713395,0.13702915270630323
1014,2012-09-01,CHIRPS,66743.0546875,89,19.77777777777778,749.9219360351562,14.004957634281821,-15.436908828055529,Kaolack,Nioro du Rip,Zone soudano-sahélienne,58.32746887207031,12.875,-16.625,Ziguinchor,Bignona,4.25,3.0,473.10999999999996,24.425985121994877,22.64193344116211,8.240735597087786,12.138345718383789,58.32746887207031,18.438766479492188,28.825584411621094,35.87963790893555,39.218104553222645,47.358144531250055,2.15278081089875,4.332155245836425,4.49438202247191,4.25,3.0,473.10999999999996,66743.0546875,145.7565460205078,915.8154296875,1.0000001192092896,0.5274784564971924,5,36,0.4044943820224719,0.056179775280898875,89,89,24.467810703335687,2.15278081089875,0.18184103129655416
1015,2023-06-23,CHIRPS,41542.8828125,55,12.222222222222221,755.3251342773438,12.739566959960282,-13.75290152490668,Tambacounda,Tambacounda,Zone soudanienne,32.365509033203125,12.625,-11.375,Kédougou,Saraya,1.0,5.25,111.32,22.637210447138006,22.876232147216797,3.9566869995896266,15.13803482055664,32.365509033203125,20.20099449157715,25.56070899963379,27.308821868896484,29.408193778991695,31.53751033782959,2.773541385499795,4.302523752064584,34.54545454545455,1.0,5.25,111.32,41542.8828125,114.99352264404297,722.525634765625,1.0,6.271317958831787,3,31,0.5636363636363636,0.05454545454545454,55,55,22.64037627679531,2.773541385499795,0.09893210457943513
1016,2020-06-25,CHIRPS,45288.890625,60,13.333333333333334,754.8148193359375,12.900401759282484,-13.947249961245419,Tambacounda,Tambacounda,Zone soudanienne,32.22637176513672,12.875,-13.625,Tambacounda,Tambacounda,2.0,3.75,222.64,21.44397840499878,21.144524574279785,3.825229917084325,14.012445449829102,32.22637176513672,19.35905361175537,23.428543090820312,25.61327476501465,29.375038814544673,31.760043907165525,2.4858612270835385,4.099045437229523,10.0,2.0,3.75,222.64,45288.890625,120.06623840332031,754.3984375,1.0,2.5524582862854004,2,59,0.9833333333333333,0.03333333333333333,60,60,21.447531275749938,2.4858612270835385,0.09730840162702781
1017,2018-10-13,CHIRPS,41443.6875,55,12.222222222222221,753.5216064453125,13.263517989113746,-12.750419697071944,Tambacounda,Goudiry,Zone soudanienne,17.5499267578125,12.875,-12.125,Kédougou,Salémata,2.0,2.75,222.64,11.335631986097855,11.115072250366211,2.589098518692076,6.769525527954102,17.5499267578125,9.380053520202637,12.944085597991943,15.102736854553223,15.872144985198974,17.11786331176758,2.560701026967795,3.815344737477092,18.181818181818183,2.0,2.75,222.64,41443.6875,114.85614776611328,721.6624755859375,1.0000001192092896,1.1333400011062622,2,54,0.9818181818181818,0.03636363636363636,55,55,11.339957977745746,2.560701026967795,0.12942962265822144
1018,2009-07-15,CHIRPS,53410.625,71,15.777777777777779,752.2623291015625,13.547164097038303,-15.531188752014348,Kaffrine,Malem-Hodar,Zone soudano-sahélienne,39.33747863769531,13.125,-16.125,Sédhiou,Goudomp,3.25,5.0,361.78999999999996,22.62456465439058,21.988080978393555,6.278035479171156,11.340564727783203,39.33747863769531,17.411948204040527,26.75916576385498,30.953214645385742,33.43968391418457,37.86214714050293,2.2867747179839704,3.7170452929077915,8.450704225352112,3.25,5.0,361.78999999999996,53410.625,130.3883819580078,819.25439453125,1.0,1.193415880203247,6,60,0.8450704225352113,0.08450704225352113,71,71,22.642594171749696,2.2867747179839704,0.15679940117555846
1019,2009-07-08,CHIRPS,50409.96875,67,14.88888888888889,752.3875732421875,13.5546395186177,-12.13779761082669,Tambacounda,Goudiry,Zone soudano-sahélienne,32.45436477661133,12.375,-11.875,Kédougou,Kédougou,3.0,2.25,333.96,20.40568730368543,20.000802993774414,4.305044503803639,12.726795196533203,32.45436477661133,17.724921226501465,22.060531616210938,25.22337265014648,30.27769680023193,31.63039199829102,2.2593214343385886,2.8775049901441476,0.0,3.0,2.25,333.96,50409.96875,126.67277526855469,795.9085693359375,0.9999998807907104,0.6287046074867249,2,63,0.9402985074626866,0.029850746268656716,67,67,20.41801187926453,2.2593214343385886,0.11366941326723712
1020,1985-05-11,CHIRPS,40525.08984375,54,12.0,750.464599609375,14.19501868571971,-13.641733401905306,Tambacounda,Tambacounda,Zone soudano-sahélienne,5.774579048156738,13.875,-13.625,Tambacounda,Tambacounda,3.0,5.0,333.96,1.7174051482644346,1.2406644821166992,1.3929315947819354,0.12451597303152084,5.774579048156738,0.7000621259212494,2.3484725952148438,3.364153909683228,4.872171735763545,5.739049129486084,7.6587913444430695,19.474474767865804,88.88888888888889,3.0,5.0,333.96,40525.08984375,113.57612609863281,713.619873046875,1.0,1.5992802381515503,3,41,0.7592592592592593,0.05555555555555555,54,54,1.7181555395021053,7.6587913444430695,0.427823447351525
1021,1990-10-26,CHIRPS,40530.84375,54,12.0,750.5711669921875,13.990820614068593,-13.116518232092284,Tambacounda,Goudiry,Zone soudano-sahélienne,18.094161987304688,12.375,-14.375,Kolda,Médina Yoro Foulah,2.75,3.0,306.13,6.1417236085291265,5.799111604690552,3.7970099782305575,1.273881435394287,18.094161987304688,3.2162449955940247,7.400864481925964,12.486611270904543,13.734568738937377,16.466777076721186,3.6065952074444243,8.692774615243227,53.7037037037037,2.75,3.0,306.13,40530.84375,113.58419036865234,713.6705322265625,1.0,1.1959224939346313,4,50,0.9259259259259259,0.07407407407407407,54,54,6.14908972718043,3.6065952074444243,0.3329945502578884
1022,2009-06-18,CHIRPS,40681.01171875,54,12.0,753.35205078125,13.230742106947226,-15.691012590613516,Sédhiou,Sédhiou,Zone soudanienne,38.74444580078125,13.375,-16.625,Ziguinchor,Bignona,4.25,4.25,473.10999999999996,21.101055997389334,22.013212203979492,6.731489096267855,2.5195860862731934,38.74444580078125,16.891944885253906,25.68875026702881,27.89771022796631,30.249134349822985,36.170374107360836,3.6243786032988754,7.226118653671613,61.111111111111114,4.25,4.25,473.10999999999996,40681.01171875,113.7944107055664,714.9913940429688,1.0,1.2181763648986816,4,48,0.8888888888888888,0.07407407407407407,54,54,21.116825662082224,3.6243786032988754,0.1747575744847707
1023,1990-10-06,CHIRPS,40376.03515625,54,12.0,747.704345703125,14.882721516568266,-16.388151529072704,Diourbel,Bambey,Zone soudano-sahélienne,21.720739364624023,15.375,-16.375,Louga,Kébémer,3.0,2.0,333.96,12.796861441047103,13.480278968811035,5.084442372032696,3.7076103687286377,21.720739364624023,8.333395957946777,17.153034210205078,18.800443267822267,19.83978309631347,21.430734882354734,3.8756191271142146,7.119342268070307,59.25925925925926,3.0,2.0,333.96,40376.03515625,113.3670654296875,712.3062744140625,1.0000001192092896,0.4676567018032074,2,53,0.9814814814814815,0.037037037037037035,54,54,12.80963320317613,3.8756191271142146,0.2283373578479726
1024,2003-10-30,CHIRPS,40699.0,54,12.0,753.6851806640625,12.764807812854189,-15.511535212139691,Sédhiou,Sédhiou,Zone soudanienne,20.701553344726562,12.375,-14.875,Kolda,Kolda,4.25,3.5,473.10999999999996,8.322819213072458,7.322044849395752,5.360671830217184,1.2013468742370605,20.701553344726562,4.193063497543335,12.13761854171753,15.362427616119387,18.615290069580073,19.983672485351562,3.533441836879299,6.109891054886696,64.81481481481481,4.25,3.5,473.10999999999996,40699.0,113.81956481933594,715.1494140625,1.0000001192092896,1.0143183469772339,6,42,0.7777777777777778,0.1111111111111111,54,54,8.340893103284307,3.533441836879299,0.3645776138516934
1025,2000-11-05,CHIRPS,40441.390625,54,12.0,748.9146118164062,13.09195175165134,-14.878148349454289,Kolda,Kolda,Zone soudanienne,5.527829170227051,12.375,-15.375,Sédhiou,Bounkiling,4.25,4.75,473.10999999999996,1.5570712059184357,0.6609288454055786,1.5131107123887289,0.22789008915424347,5.527829170227051,0.3995252251625061,2.397471308708191,4.339383006095888,4.704486894607544,5.286600108146667,2.8270221112815612,5.872698594040419,29.62962962962963,4.25,4.75,473.10999999999996,40441.390625,113.45877838134766,712.882568359375,0.9999999403953552,0.6519127488136292,13,22,0.4074074074074074,0.24074074074074073,54,54,1.5679183649744073,2.8270221112815612,0.5048887958775583
1026,2011-10-18,CHIRPS,40719.13671875,54,12.0,754.05810546875,12.993564990297486,-15.543389040250739,Sédhiou,Sédhiou,Zone soudanienne,29.644163131713867,12.375,-15.375,Sédhiou,Bounkiling,3.0,2.5,333.96,14.149254697340506,13.455101013183594,5.698210498649147,2.890042781829834,29.644163131713867,10.7833890914917,17.737640857696533,21.249446678161625,23.36410207748413,28.512989063262935,3.044499165517748,5.735399323842035,38.888888888888886,3.0,2.5,333.96,40719.13671875,113.84772491455078,715.3263549804688,1.0,1.069540023803711,3,51,0.9444444444444444,0.05555555555555555,54,54,14.160283568019466,3.044499165517748,0.2255406372903601
1027,2021-09-17,CHIRPS,47041.453125,63,14.0,746.6897583007812,15.146202302846174,-14.909835733383279,Kaffrine,Koungheul,Zone soudano-sahélienne,32.73308563232422,12.375,-13.125,Kédougou,Salémata,4.25,4.25,473.10999999999996,20.081683946034264,19.627979278564453,4.834638481890753,12.911578178405762,32.73308563232422,16.344005584716797,23.020771980285645,26.045515441894533,29.144771957397456,32.11064365386963,2.792707398539717,5.427897730811118,31.746031746031747,4.25,4.25,473.10999999999996,47041.453125,122.3673095703125,768.8565063476562,1.0000001192092896,0.7472323179244995,6,40,0.6349206349206349,0.09523809523809523,63,63,20.09830906122487,2.792707398539717,0.13574490307875942
1028,1991-06-02,CHIRPS,40729.6640625,54,12.0,754.2530517578125,12.934503206262942,-13.076284870738155,Kédougou,Salémata,Zone soudanienne,28.081026077270508,12.375,-12.875,Kédougou,Kédougou,2.5,3.0,278.29999999999995,17.478913987124407,17.37281894683838,5.7455940789470406,4.490985870361328,28.081026077270508,13.816656351089478,22.015511989593506,24.710498046875,26.084088230133055,27.393338623046873,3.490857206237205,5.371301490501643,62.96296296296296,2.5,3.0,278.29999999999995,40729.6640625,113.86243438720703,715.4188232421875,0.9999999403953552,1.115312099456787,4,48,0.8888888888888888,0.07407407407407407,54,54,17.49199822945749,3.490857206237205,0.18665943724784118
1029,2010-06-28,CHIRPS,43612.34375,58,12.88888888888889,751.9369506835938,13.06199302397424,-13.11097927507167,Tambacounda,Tambacounda,Zone soudanienne,32.0828742980957,12.375,-12.875,Kédougou,Kédougou,4.25,5.25,473.10999999999996,17.691025585963807,19.166919708251953,8.573656160828317,2.1953353881835938,32.0828742980957,10.022774696350098,24.49483871459961,28.06548023223877,28.734748554229736,30.71911781311035,2.7375222936841794,5.071051463143633,20.689655172413794,4.25,5.25,473.10999999999996,43612.34375,117.82292175292969,740.3032836914062,0.9999998807907104,1.0568002462387085,4,39,0.6724137931034483,0.06896551724137931,58,58,17.747592060551973,2.7375222936841794,0.2744354217313363
1030,1995-10-13,CHIRPS,40692.8515625,54,12.0,753.5713500976562,13.203460608396062,-14.330158936541062,Tambacounda,Tambacounda,Zone soudanienne,30.985342025756836,12.625,-14.375,Kolda,Médina Yoro Foulah,2.0,2.25,222.64,14.734991718221593,13.71845817565918,5.404071237972173,6.792998790740967,30.985342025756836,10.884950399398804,16.31183385848999,23.368804740905762,25.98745622634887,29.341634197235102,2.9518381653496677,4.802749345929383,42.592592592592595,2.0,2.25,222.64,40692.8515625,113.81096649169922,715.0953979492188,1.0000001192092896,1.1042464971542358,2,53,0.9814814814814815,0.037037037037037035,54,54,14.743341067810148,2.9518381653496677,0.1935147101162722
