date,phase,cluster,max_precip,mean_precip,coverage_percent,max_anomaly,mean_anomaly,year,month,day_of_year
2019-10-08,Phase_3_fin,1,42.538,14.356537723022958,40.889,7.435,3.662101480869121,2019,10,281
2005-09-26,Phase_3_fin,1,73.004,33.756293943019514,40.667,8.654,4.415405031493506,2005,9,269
1999-10-08,Phase_3_fin,4,64.987,20.46318315149664,40.444,7.759,3.753579354644515,1999,10,281
1993-09-22,Phase_3_fin,1,44.969,25.78951521234198,40.444,7.678,3.812838248998394,1993,9,265
2021-10-30,Phase_3_fin,3,22.596,6.0660279449178365,40.222,7.858,4.034153541666682,2021,10,303
2000-10-13,Phase_3_fin,3,26.47,9.113910563786824,40.0,10.446,3.2815255141246844,2000,10,287
2003-10-22,Phase_3_fin,1,17.87,5.204582598143154,40.0,8.053,3.721766369244976,2003,10,295
1985-10-31,Phase_3_fin,3,15.315,4.833828164545517,39.778,9.704,4.5391382852753575,1985,10,304
2000-10-14,Phase_3_fin,3,53.973,14.233368262146296,39.556,9.398,4.1899463902490925,2000,10,288
2020-09-21,Phase_3_fin,3,54.764,27.4335481504376,39.556,6.287,3.656795096761296,2020,9,265
2020-09-19,Phase_3_fin,3,48.231,26.313078360611133,39.556,5.878,3.2509944931699257,2020,9,263
2002-09-08,Phase_3_fin,1,45.363,24.35084709960423,39.556,4.764,2.8587929485471903,2002,9,251
1991-10-09,Phase_3_fin,1,28.41,10.988649057660783,38.889,9.925,3.680634684504624,1991,10,282
2006-09-02,Phase_3_fin,1,73.27,27.61813435690744,38.889,7.162,3.3436798180978724,2006,9,245
2001-09-07,Phase_3_fin,1,34.672,21.949944169180736,38.889,4.881,2.5898139219215537,2001,9,250
2023-09-07,Phase_3_fin,0,38.281,21.22612652369908,38.889,3.847,2.5748329219580883,2023,9,250
2021-10-25,Phase_3_fin,3,29.397,10.640698460669354,38.667,8.852,4.543032256658379,2021,10,298
2016-09-28,Phase_3_fin,1,47.685,23.19481458061043,38.667,7.824,4.123145813460441,2016,9,272
2001-10-11,Phase_3_fin,3,30.839,10.833867540886237,38.222,6.229,3.2230038540352526,2001,10,284
2009-10-18,Phase_3_fin,1,15.675,6.444301042640419,38.0,10.838,4.030468628922487,2009,10,291
2010-10-17,Phase_3_fin,2,33.716,8.848104032348184,37.778,13.467,5.334857202469747,2010,10,290
2022-09-25,Phase_3_fin,3,50.541,22.65923254910637,37.778,7.081,3.283205671323429,2022,9,268
2015-09-27,Phase_3_fin,0,37.471,19.87339585248161,37.778,5.561,3.1061100259607897,2015,9,270
2013-09-05,Phase_3_fin,1,47.512,27.78349662532468,37.556,4.33,2.7824816558790064,2013,9,248
1984-10-04,Phase_3_fin,3,102.453,26.5630314492044,37.333,12.652,5.3291550176629645,1984,10,278
2015-10-13,Phase_3_fin,0,53.423,19.12086801186293,37.111,7.58,3.902212698419128,2015,10,286
2013-09-26,Phase_3_fin,1,24.538,16.489178983037345,37.111,4.872,3.035835708817418,2013,9,269
2009-10-17,Phase_3_fin,1,19.355,7.568666240537023,36.889,8.931,4.326922187696192,2009,10,290
2010-10-21,Phase_3_fin,2,15.178,5.57262190781444,36.889,4.858,3.3451845299813976,2010,10,294
1989-10-26,Phase_3_fin,3,36.701,8.368528894583385,36.667,9.357,3.95647856448726,1989,10,299
2017-09-24,Phase_3_fin,1,44.024,23.35467686508641,36.667,7.847,3.685139668709546,2017,9,267
2020-09-05,Phase_3_fin,3,83.643,35.279523616883814,36.444,6.668,3.396673203112604,2020,9,249
2014-09-19,Phase_3_fin,1,41.952,22.757784672725347,36.0,6.862,3.2784347691487743,2014,9,262
2010-10-15,Phase_3_fin,2,25.256,9.311403337472717,35.778,5.454,3.2865606222741057,2010,10,288
1992-09-17,Phase_3_fin,1,43.518,24.73807973922438,34.889,5.603,2.8774674916732788,1992,9,261
1985-09-20,Phase_3_fin,3,54.697,29.613799559764374,34.667,10.217,4.006582171934763,1985,9,263
1987-09-23,Phase_3_fin,0,38.917,21.00500519459064,34.667,4.352,2.7037164098770607,1987,9,266
2009-09-25,Phase_3_fin,1,46.885,26.106850248767483,34.444,4.179,2.850404087906033,2009,9,268
1988-09-07,Phase_3_fin,3,41.338,24.534567120787383,34.222,7.417,3.3309105202280427,1988,9,251
1984-09-20,Phase_3_fin,3,46.555,24.87891199681666,34.222,6.944,3.264906139793015,1984,9,264
2002-10-31,Phase_3_fin,1,11.99,3.539435106084535,33.778,12.041,4.504310522623939,2002,10,304
2014-09-22,Phase_3_fin,1,38.823,21.89310567002548,33.778,9.333,3.535053351552909,2014,9,265
2003-10-24,Phase_3_fin,1,27.602,7.333408757344189,33.111,8.683,3.2969191915274183,2003,10,297
1999-10-17,Phase_3_fin,4,24.941,7.026631390488388,33.111,6.414,3.347233485197588,1999,10,290
1985-09-02,Phase_3_fin,3,59.179,28.387857571544263,33.111,6.148,2.986762346182587,1985,9,245
2001-09-29,Phase_3_fin,3,31.323,13.917255532821551,33.111,5.711,2.928757494729948,2001,9,272
2010-10-29,Phase_3_fin,2,19.838,5.712847116209517,33.111,5.349,3.329144453695906,2010,10,302
2019-09-16,Phase_3_fin,1,47.309,27.318786313869808,33.111,4.345,2.593934027262577,2019,9,259
2021-09-10,Phase_3_fin,3,67.579,31.720499635553683,32.667,7.044,2.9792968048742074,2021,9,253
2013-09-06,Phase_3_fin,1,58.601,32.23540328149082,32.667,6.804,3.2267119679886545,2013,9,249
2002-10-07,Phase_3_fin,1,27.927,12.886361321624443,32.667,5.698,3.0200031100535973,2002,10,280
2008-10-15,Phase_3_fin,2,29.352,14.041867807608885,32.667,5.277,3.271492624605325,2008,10,289
1996-09-28,Phase_3_fin,3,33.298,21.483664884959182,32.444,6.771,3.3299930582930712,1996,9,272
2002-10-26,Phase_3_fin,1,14.909,5.774434024748737,32.444,6.104,3.1922707907713685,2002,10,299
2010-09-02,Phase_3_fin,2,48.582,26.75728640720762,32.222,7.71,3.54131794679275,2010,9,245
2000-09-19,Phase_3_fin,3,52.885,27.440684621087435,32.222,5.142,2.8911657731907834,2000,9,263
2018-10-08,Phase_3_fin,1,33.1,12.372966305962924,32.222,4.827,2.8260591840638405,2018,10,281
2003-09-17,Phase_3_fin,1,38.325,21.539102955522207,32.222,4.143,2.7399948253186936,2003,9,260
2016-10-25,Phase_3_fin,1,8.827,3.752351127978829,32.0,12.992,4.472298778152524,2016,10,299
1996-10-08,Phase_3_fin,3,20.239,7.421144702368313,32.0,8.528,3.892069065155012,1996,10,282
1991-10-08,Phase_3_fin,1,33.319,15.051291787540997,31.778,10.011,4.216282753820145,1991,10,281
2002-10-25,Phase_3_fin,1,31.184,9.322449799154846,31.556,7.772,3.775245393212289,2002,10,298
2015-09-01,Phase_3_fin,0,73.492,37.04823573206512,31.556,6.501,3.328509595177275,2015,9,244
2006-09-11,Phase_3_fin,1,56.11,34.961892020534464,31.556,5.441,3.200671608071357,2006,9,254
2014-09-15,Phase_3_fin,1,39.966,21.421458815185115,31.556,4.641,3.004366173897333,2014,9,258
1988-09-16,Phase_3_fin,2,41.595,22.933603702272688,31.111,6.421,3.466189359154549,1988,9,260
2004-10-23,Phase_3_fin,1,25.509,8.469406125356825,30.889,14.671,5.067589251398184,2004,10,297
2020-10-13,Phase_3_fin,3,26.714,9.642774127531744,30.667,5.688,2.9994605322973493,2020,10,287
2006-10-14,Phase_3_fin,1,29.789,12.0379711119798,30.444,5.628,3.4201091825522942,2006,10,287
2015-09-22,Phase_3_fin,0,58.258,23.2338925670175,30.222,5.13,2.751822504921435,2015,9,265
1997-09-26,Phase_3_fin,0,35.402,19.87685136234059,30.222,5.078,2.858339917951968,1997,9,269
2017-09-05,Phase_3_fin,1,29.729,22.78232009270612,30.222,4.605,3.253183419041552,2017,9,248
1998-09-29,Phase_3_fin,4,23.874,13.831475586361355,30.0,6.745,3.097016148000991,1998,9,272
2011-09-23,Phase_3_fin,2,27.038,17.488386655736853,30.0,5.606,2.922556988772355,2011,9,266
2010-09-07,Phase_3_fin,2,45.79,23.349766074286567,30.0,5.273,3.184443132824503,2010,9,250
1985-09-09,Phase_3_fin,3,70.102,36.95450209147894,29.778,7.053,3.725531847389742,1985,9,252
1993-09-26,Phase_3_fin,1,51.598,24.54053902270189,29.778,5.84,3.0058369549910795,1993,9,269
2007-10-11,Phase_3_fin,3,28.478,11.85968230909376,29.778,5.144,2.718202716974627,2007,10,284
1987-09-27,Phase_3_fin,0,34.961,16.17365647079353,29.556,5.416,2.8006540357893432,1987,9,270
1986-09-04,Phase_3_fin,1,46.844,27.46432505155865,29.556,4.718,2.8109753038707272,1986,9,247
1994-10-30,Phase_3_fin,1,10.9,4.324046240385735,29.333,13.16,4.874947576837933,1994,10,303
1993-10-28,Phase_3_fin,1,16.898,6.50903639784365,29.333,8.817,4.039248417576386,1993,10,301
2012-10-21,Phase_3_fin,1,15.199,6.271083629768313,29.111,8.316,4.212367892131572,2012,10,295
2013-10-07,Phase_3_fin,3,38.83,13.1741967856429,29.111,5.43,2.9120941260007664,2013,10,280
2011-09-02,Phase_3_fin,2,45.338,25.160197971431355,29.111,5.097,3.019450552985345,2011,9,245
2018-09-29,Phase_3_fin,1,44.703,19.641992987119234,28.889,6.905,3.809509735922677,2018,9,272
1986-09-28,Phase_3_fin,1,32.853,17.161727212369442,28.444,7.692,3.2558348047372023,1986,9,271
1994-09-30,Phase_3_fin,1,29.938,16.038230082345386,28.0,8.86,3.3707151716961974,1994,9,273
1991-10-07,Phase_3_fin,1,61.216,15.590638458251954,27.778,7.66,3.3699941726130205,1991,10,280
1996-09-30,Phase_3_fin,3,26.106,14.705680065155027,27.778,7.096,3.214705586471476,1996,9,274
1988-09-17,Phase_3_fin,2,48.429,25.49451699829101,27.778,6.495,3.2807267880811297,1988,9,261
2012-09-22,Phase_3_fin,1,50.206,22.34063091201167,27.556,7.566,4.00713938460617,2012,9,266
1986-09-25,Phase_3_fin,1,32.304,17.3716691693952,27.556,4.435,2.952334449187963,1986,9,268
1985-09-19,Phase_3_fin,3,39.881,23.53772237048885,27.333,7.855,3.4630136252340766,1985,9,262
2010-09-01,Phase_3_fin,2,56.643,25.473449172043217,27.333,5.934,2.985389105189175,2010,9,244
2003-09-22,Phase_3_fin,1,47.696,22.75764844475723,27.333,4.614,2.95004530638114,2003,9,265
2023-09-16,Phase_3_fin,0,32.882,21.27686340828252,27.333,4.511,2.7872629512963054,2023,9,259
1997-09-25,Phase_3_fin,0,33.962,18.30985106796515,27.111,4.696,2.8729184618321133,1997,9,268
1992-10-03,Phase_3_fin,1,21.92,12.645185404136532,27.111,4.087,2.6168061187527063,1992,10,277
1994-09-25,Phase_3_fin,1,64.072,35.219898239640166,26.889,6.462,3.802429973438069,1994,9,268
2011-09-30,Phase_3_fin,2,22.314,14.30414362978344,26.889,5.763,3.5836962159513845,2011,9,273
2010-09-08,Phase_3_fin,2,53.612,29.82533849080404,26.667,8.828,4.535750775867702,2010,9,251
2005-10-23,Phase_3_fin,1,27.35,4.549711695313453,26.667,5.853,2.992107314520128,2005,10,296
2022-09-02,Phase_3_fin,3,68.261,37.02043665557349,26.444,6.372,3.452292826768426,2022,9,245
1992-10-27,Phase_3_fin,1,20.402,9.329520990282802,26.222,8.949,4.132772954178706,1992,10,301
2018-10-16,Phase_3_fin,1,10.961,4.984906101630906,26.222,5.822,2.943738478600836,2018,10,289
1999-10-05,Phase_3_fin,4,30.336,13.251065690638656,26.222,4.615,3.0786049110693305,1999,10,278
1994-10-23,Phase_3_fin,1,13.344,3.782296896490276,26.0,9.11,3.79621339067101,1994,10,296
2022-09-03,Phase_3_fin,3,60.403,32.71794863991116,25.556,5.896,3.334783266838733,2022,9,246
2012-09-18,Phase_3_fin,1,46.481,19.5147693965746,25.556,5.4,2.863550153514831,2012,9,262
1991-10-10,Phase_3_fin,1,25.195,8.164466182045315,25.556,5.285,2.932097681748808,1991,10,283
2012-10-11,Phase_3_fin,1,16.463,6.849401820124242,25.333,9.405,3.9541895316507496,2012,10,285
