date,rank,year,month,phase,phase_description,day_of_year,coverage_points,coverage_percent,mean_precip,max_precip,min_precip,std_precip,mean_anomaly,max_anomaly,std_anomaly,centroid_lat,centroid_lon,centroid_region,centroid_department,centroid_climate_zone,max_intensity_lat,max_intensity_lon,max_intensity_region,max_intensity_department,lat_extent_deg,lon_extent_deg,lat_extent_km,lon_extent_km,regions_affected,departments_affected,climate_zones_affected,intensity_concentration,spatial_dispersion,anomaly_severity,geographic_validation,cluster
1997-05-10,196,1997,5,Phase_1_debut,Début de saison,130,160,35.556,8.842558136046865,37.544,0.0484361760318279,9.654589024868594,7.039885937086302,19.872,3.213998707471565,13.007,-12.642,Tambacounda,Goudiry,Zone soudanienne,12.875,-12.375,Kédougou,Salémata,4.25,5.25,473.11,569.4349855010913,8,17,3,0.0137006086588541,740.3305107940831,9.936156223280852,PASSED,5
2023-05-31,199,2023,5,Phase_1_debut,Début de saison,151,159,35.333,10.634912307532328,21.835,0.5453171730041504,5.018810053089978,2.8400978516194124,4.787,0.5854917382521592,13.291,-12.952,Tambacounda,Tambacounda,Zone soudanienne,12.875,-11.875,Kédougou,Saraya,2.75,5.0,306.13,541.6918364563671,7,17,2,0.0076899805656825,622.2102729853242,2.393553476595159,PASSED,0
2000-06-21,200,2000,6,Phase_1_debut,Début de saison,173,159,35.333,16.079374991123032,26.344,2.983203411102295,5.172768061340476,2.681869376766934,4.369,0.4963934284261164,13.675,-13.911,Tambacounda,Tambacounda,Zone soudano-sahélienne,12.375,-14.625,Kolda,Médina Yoro Foulah,3.25,5.5,361.79,594.9050944978972,13,29,3,0.0069402026134316,696.2787367657094,2.1845912575593447,PASSED,1
2012-05-22,203,2012,5,Phase_1_debut,Début de saison,143,157,34.889,5.151497740654429,15.574,0.2130521386861801,3.876865141090192,6.709437086332496,15.412,3.1540385683191805,13.588,-13.86,Tambacounda,Tambacounda,Zone soudano-sahélienne,12.375,-14.125,Kolda,Médina Yoro Foulah,3.75,4.5,417.45,486.9187587366486,6,17,3,0.0099768301360918,641.369155194291,7.7059916162819055,PASSED,0
1988-05-27,210,1988,5,Phase_1_debut,Début de saison,148,155,34.444,11.257432306197382,36.64,1.3424644470214844,7.101831953781309,4.845868578551485,11.454,2.042836624723666,13.304,-13.214,Tambacounda,Tambacounda,Zone soudanienne,12.375,-12.125,Kédougou,Kédougou,3.0,4.0,333.96,433.3306694099385,5,14,2,0.0090192308162576,547.0875089862365,5.726906670773683,PASSED,3
1983-06-17,213,1983,6,Phase_1_debut,Début de saison,168,154,34.222,21.525920022617687,47.57,4.069602489471436,8.996674535110536,4.384695203356314,11.048,2.120086729336078,13.714,-13.056,Tambacounda,Goudiry,Zone soudano-sahélienne,13.875,-11.875,Tambacounda,Goudiry,4.25,5.25,473.11,567.7676643396068,8,18,3,0.0076277853945878,739.0488367960891,5.523911998120714,PASSED,0
2008-06-28,214,2008,6,Phase_1_debut,Début de saison,180,154,34.222,22.879757034314142,51.119,3.1398937702178955,10.99478847458803,4.699991573408466,9.226,1.668609575946995,14.254,-15.57,Kaolack,Guinguinéo,Zone soudano-sahélienne,12.375,-16.125,Sédhiou,Goudomp,4.25,3.75,473.11,404.59801586168,12,31,3,0.0079930194397933,622.5211779041805,4.612774897646082,PASSED,1
1984-06-09,218,1984,6,Phase_1_debut,Début de saison,161,153,34.0,10.444128814086415,22.743,1.2873231172561646,4.994283716590308,3.9098014875144727,9.089,1.7320510522713848,14.479,-14.433,Tambacounda,Koumpentoum,Zone soudano-sahélienne,12.875,-15.125,Kolda,Kolda,4.0,3.75,445.28,404.1912310664024,9,21,3,0.0080304980618068,601.3691316662121,4.544524877605016,PASSED,4
2022-06-23,220,2022,6,Phase_1_debut,Début de saison,174,153,34.0,16.27955787945417,27.642,4.228420734405518,4.824796300181919,2.696501945842064,4.569,0.5112662314627597,13.707,-14.578,Tambacounda,Koumpentoum,Zone soudano-sahélienne,13.125,-14.875,Kolda,Kolda,3.0,5.5,333.96,594.8231994082666,12,30,2,0.0071100394834381,682.1612067479259,2.2846214332118184,PASSED,4
2008-06-01,222,2008,6,Phase_1_debut,Début de saison,153,152,33.778,7.766596207493229,17.761,0.995535135269165,3.0674539289266742,5.098640592474504,10.975,2.231915655521534,14.482,-13.819,Tambacounda,Koumpentoum,Zone soudano-sahélienne,12.375,-16.375,Ziguinchor,Oussouye,4.25,5.5,473.11,592.8066281848237,11,23,3,0.0076051923740956,758.4541917082797,5.48735881844653,PASSED,1
