date,phase,cluster,max_precip,mean_precip,coverage_percent,max_anomaly,mean_anomaly,year,month,day_of_year
2010-07-13,Phase_2_pleine,8,48.96,26.012,42.889,8.53,4.788,2010,7,194
2022-10-08,Phase_3_fin,5,42.853,15.136,42.667,7.381,3.856,2022,10,281
2023-09-04,Phase_3_fin,4,47.095,29.64,42.667,4.655,2.804,2023,9,247
2020-10-04,Phase_3_fin,2,21.33,10.8,42.222,7.769,3.216,2020,10,278
2016-07-21,Phase_2_pleine,6,48.74,24.387,42.222,6.465,3.315,2016,7,203
2013-07-21,Phase_2_pleine,2,37.866,20.246,42.0,6.42,3.252,2013,7,202
2003-06-28,Phase_1_debut,7,28.973,14.732,41.556,11.409,3.382,2003,6,179
2004-09-16,Phase_3_fin,7,56.381,29.071,41.556,6.24,3.3,2004,9,260
1985-07-24,Phase_2_pleine,2,39.414,21.725,41.556,5.229,2.919,1985,7,205
2002-10-09,Phase_3_fin,7,22.279,10.62,41.333,15.494,5.644,2002,10,282
1998-10-31,Phase_3_fin,0,11.111,4.075,41.333,15.255,5.517,1998,10,304
1996-06-15,Phase_1_debut,2,24.904,6.73,41.111,7.857,3.578,1996,6,167
2012-09-29,Phase_3_fin,3,58.911,27.847,41.111,7.184,4.267,2012,9,273
1991-06-03,Phase_1_debut,7,27.929,13.426,40.889,20.0,5.655,1991,6,154
2010-05-25,Phase_1_debut,8,20.898,5.536,40.889,11.24,3.779,2010,5,145
2019-10-07,Phase_3_fin,7,30.202,17.439,40.889,8.655,3.802,2019,10,280
1999-07-01,Phase_2_pleine,0,39.966,17.904,40.889,8.078,3.581,1999,7,182
1999-10-27,Phase_3_fin,0,26.406,6.364,40.889,7.809,3.345,1999,10,300
2019-10-08,Phase_3_fin,7,42.538,14.357,40.889,7.435,3.662,2019,10,281
1999-08-14,Phase_2_pleine,0,54.041,26.504,40.889,6.167,3.022,1999,8,226
2005-09-26,Phase_3_fin,7,73.004,33.756,40.667,8.654,4.415,2005,9,269
1999-10-08,Phase_3_fin,0,64.987,20.463,40.444,7.759,3.754,1999,10,281
1993-09-22,Phase_3_fin,7,44.969,25.79,40.444,7.678,3.813,1993,9,265
1994-07-21,Phase_2_pleine,7,45.829,25.403,40.444,5.663,3.08,1994,7,202
2005-07-06,Phase_2_pleine,7,46.096,26.115,40.444,4.672,2.931,2005,7,187
2021-10-30,Phase_3_fin,2,22.596,6.066,40.222,7.858,4.034,2021,10,303
2020-06-15,Phase_1_debut,2,38.82,16.109,40.222,6.925,4.637,2020,6,167
1999-06-06,Phase_1_debut,0,26.256,12.874,40.222,5.75,3.005,1999,6,157
2000-10-13,Phase_3_fin,2,26.47,9.114,40.0,10.446,3.282,2000,10,287
