date,phase,cluster,max_precip,mean_precip,coverage_percent,max_anomaly,mean_anomaly,year,month,day_of_year
1989-08-15,Phase_2_pleine,2,40.252,22.96709619668814,28.889,4.279,2.8892005227027897,1989,8,227
2010-07-16,Phase_2_pleine,2,37.904,22.814240484971265,28.889,3.607,2.680786120797035,2010,7,197
2014-07-17,Phase_2_pleine,1,38.369,20.70094663043355,28.667,3.792,2.601053579253634,2014,7,198
2004-07-12,Phase_2_pleine,1,38.915,20.341197379799777,28.667,3.327,2.5472140686857627,2004,7,194
2010-07-08,Phase_2_pleine,2,30.616,15.76099518314004,28.444,5.915,2.69607958972384,2010,7,189
2011-07-17,Phase_2_pleine,2,54.472,26.36978601470707,28.222,10.914,4.842203013740119,2011,7,198
2001-07-03,Phase_2_pleine,1,40.519,17.827781373121606,28.222,4.957,2.8835985285519543,2001,7,184
2015-08-17,Phase_2_pleine,0,77.975,31.07848750136969,28.222,4.7,2.7279421530229087,2015,8,229
2003-07-25,Phase_2_pleine,1,59.445,29.84583102248785,28.222,4.257,2.8461626102833737,2003,7,206
1986-08-01,Phase_2_pleine,0,64.866,33.89601026262556,28.0,10.386,4.5253554377405765,1986,8,213
2007-08-30,Phase_2_pleine,2,59.097,30.24418592453003,28.0,6.218,4.1661696667965975,2007,8,242
2007-07-04,Phase_2_pleine,1,39.689,24.31744578528026,28.0,5.637,3.1425926444186185,2007,7,185
2001-07-10,Phase_2_pleine,1,36.66,20.316810804700093,28.0,4.139,2.538441916538413,2001,7,191
1987-07-15,Phase_2_pleine,4,41.753,25.94198777770996,27.778,4.235,2.7227046488498883,1987,7,196
2017-08-03,Phase_2_pleine,1,77.884,43.42796381058231,27.556,5.469,3.347628957780398,2017,8,215
2020-07-27,Phase_2_pleine,1,82.202,30.12193813631612,27.556,5.151,2.7539030179526747,2020,7,209
2012-08-12,Phase_2_pleine,3,44.131,25.06820171635325,27.333,5.976,3.549483718564256,2012,8,225
2022-08-24,Phase_2_pleine,2,63.03,36.91020853151151,27.333,5.9,3.20480291278288,2022,8,236
2000-07-08,Phase_2_pleine,2,38.966,17.769988862479604,27.333,5.075,2.5675942349177605,2000,7,190
2021-08-04,Phase_2_pleine,2,50.597,27.14608004054085,27.111,5.351,3.1161649543951766,2021,8,216
1991-08-08,Phase_2_pleine,1,56.907,29.057365589454527,27.111,3.807,2.49420932845445,1991,8,220
2010-07-09,Phase_2_pleine,2,42.808,24.826494670111284,26.889,12.887,5.155444670954015,2010,7,190
1992-07-16,Phase_2_pleine,0,61.204,32.57153621389846,26.889,8.173,3.744018548930551,1992,7,198
1989-07-07,Phase_2_pleine,2,45.269,23.04182237830044,26.889,4.694,2.856162103822064,1989,7,188
2002-08-31,Phase_2_pleine,1,65.005,33.90483753740295,26.889,4.601,2.6126254004000646,2002,8,243
2014-07-01,Phase_2_pleine,1,24.842,13.377700419465372,26.889,4.305,2.651318206117532,2014,7,182
1987-08-03,Phase_2_pleine,4,56.69,29.16453297138214,26.667,7.029,3.3973752206347263,1987,8,215
2005-07-13,Phase_2_pleine,1,46.381,21.305922536055245,26.667,5.517,3.0515612410666986,2005,7,194
1990-08-07,Phase_2_pleine,1,80.983,27.94644838174184,26.667,5.388,2.7474547367344018,1990,8,219
2001-07-19,Phase_2_pleine,1,37.075,19.65081581672033,26.667,5.15,2.6933477266729664,2001,7,200
1996-08-11,Phase_2_pleine,2,51.624,27.926351571487167,26.222,4.275,2.8269096709753176,1996,8,224
2016-07-19,Phase_2_pleine,5,40.59,21.777186943312824,26.222,3.911,2.6947233182593564,2016,7,201
1985-08-11,Phase_2_pleine,2,62.884,35.526286703908546,26.0,4.756,2.7741212520862906,1985,8,223
1986-08-03,Phase_2_pleine,0,87.421,52.60080386030263,25.778,10.302,4.863510166055999,1986,8,215
2013-08-09,Phase_2_pleine,2,72.353,43.58799781470463,25.778,6.004,3.1235107156842723,2013,8,221
2022-07-30,Phase_2_pleine,2,44.764,25.086226553752503,25.778,5.871,3.137846054978679,2022,7,211
2003-08-09,Phase_2_pleine,1,48.241,30.136056551725968,25.556,7.611,3.9220518540191134,2003,8,221
1995-08-16,Phase_2_pleine,1,70.629,35.441219479104745,25.556,7.063,3.411893084698215,1995,8,228
1999-08-16,Phase_2_pleine,2,79.298,29.127897469893743,25.556,6.604,2.994513752798165,1999,8,228
2016-07-23,Phase_2_pleine,5,44.342,24.4695938276208,25.556,4.933,2.977513493967314,2016,7,205
2006-08-29,Phase_2_pleine,1,67.092,30.54588107233462,25.556,4.614,2.5222826712179267,2006,8,241
1995-07-21,Phase_2_pleine,1,54.511,25.88027885503936,25.333,6.157,3.076899443044279,1995,7,202
1983-07-02,Phase_2_pleine,4,38.663,22.316927006370143,25.333,5.901,2.933877331925339,1983,7,183
2014-08-18,Phase_2_pleine,1,61.496,25.1734927411665,25.333,4.379,2.993770311566214,2014,8,230
1996-08-04,Phase_2_pleine,2,114.876,53.27095860506581,25.111,7.351,3.96798872302289,1996,8,217
2004-08-21,Phase_2_pleine,1,44.901,27.768121659755707,24.889,3.51,2.484389080306027,2004,8,234
2015-08-09,Phase_2_pleine,0,71.508,33.836560275103594,24.667,10.186,4.6874008135944765,2015,8,221
1987-08-22,Phase_2_pleine,4,50.157,27.631508389034785,24.667,6.228,3.281575222450164,1987,8,234
2014-08-11,Phase_2_pleine,1,91.599,28.52072413332828,24.667,5.316,3.263130681018505,2014,8,223
2020-07-11,Phase_2_pleine,1,44.659,22.69298807924444,24.444,3.746,2.6199068431120414,2020,7,193
1986-08-20,Phase_2_pleine,0,63.924,36.84002850033821,24.222,5.276,2.9192067424881274,1986,8,232
2007-08-29,Phase_2_pleine,2,31.783,22.02316056697741,24.222,4.246,2.890300814008065,2007,8,241
2001-08-24,Phase_2_pleine,1,73.28,33.271999526906896,24.0,7.127,3.729502728276133,2001,8,236
2023-07-20,Phase_2_pleine,4,25.241,15.69742179799963,24.0,4.233,2.6402812006040817,2023,7,201
2016-07-15,Phase_2_pleine,5,33.704,21.98904863696232,23.778,4.586,2.7824750782256267,2016,7,197
2012-08-25,Phase_2_pleine,3,41.175,25.47069805359172,23.778,4.251,2.813272265588384,2012,8,238
1994-08-08,Phase_2_pleine,0,34.598,21.79640988323176,23.778,4.037,2.614091382373109,1994,8,220
2011-07-02,Phase_2_pleine,2,29.764,14.87453159746134,23.556,8.696,3.155785389693921,2011,7,183
2009-07-30,Phase_2_pleine,0,48.443,24.924609886025483,23.556,5.837,3.1348897533362474,2009,7,211
1996-07-31,Phase_2_pleine,2,54.763,30.13105494121336,23.556,4.946,2.9346170613934217,1996,7,213
1988-08-09,Phase_2_pleine,2,108.636,44.34156323387509,23.333,6.103,3.3278453283027187,1988,8,222
2019-08-25,Phase_2_pleine,1,63.09,33.89047876993815,23.333,3.633,2.4615122520448507,2019,8,237
1985-08-27,Phase_2_pleine,2,60.837,30.45743272854732,23.111,5.905,3.499021076382052,1985,8,239
2007-07-05,Phase_2_pleine,1,37.932,17.3945305118194,23.111,5.426,3.109918837171177,2007,7,186
1990-07-17,Phase_2_pleine,1,39.177,26.117974162101746,23.111,5.121,3.168032181195412,1990,7,198
2022-07-20,Phase_2_pleine,2,31.3,18.75911912551293,23.111,4.063,2.625070218173076,2022,7,201
2017-07-21,Phase_2_pleine,1,44.174,29.829631163523747,23.111,3.555,2.649619280167099,2017,7,202
2012-07-21,Phase_2_pleine,3,45.266,21.962667002261263,22.889,7.975,3.968664804888011,2012,7,203
