metric,metric_label,index,lag_months,pearson_r,pearson_p,pearson_p_neff,spearman_r,spearman_p,spearman_p_neff,n,n_eff,sig_pearson_nom,sig_spearman_nom,sig_pearson,sig_spearman
mean_precip,Precipitation moy. (mm),IOD,1,-0.1389,0.2134,0.2134,-0.1254,0.2615,0.2615,82,82,,,,
mean_precip,Precipitation moy. (mm),IOBM,1,-0.1326,0.2351,0.2351,-0.1012,0.3658,0.3658,82,82,,,,
mean_precip,Precipitation moy. (mm),TNA,1,-0.0248,0.8248,0.8248,-0.0029,0.9796,0.9796,82,82,,,,
mean_precip,Precipitation moy. (mm),TSA,1,0.1297,0.2455,0.2455,0.0711,0.5254,0.5254,82,82,,,,
mean_precip,Precipitation moy. (mm),ATL3,1,0.1237,0.2682,0.2682,0.1131,0.3117,0.3117,82,82,,,,
mean_precip,Precipitation moy. (mm),AMM,1,-0.1095,0.3275,0.3275,-0.0368,0.7426,0.7426,82,82,,,,
mean_precip,Precipitation moy. (mm),AMO,1,0.0771,0.4912,0.4912,0.0917,0.4126,0.4126,82,82,,,,
max_anomaly,Anomalie max moy. (sigma),Nino12,1,-0.1747,0.1165,0.1261,-0.1321,0.2369,0.249,82,78,,,,
max_anomaly,Anomalie max moy. (sigma),Nino3,1,-0.1834,0.0991,0.1057,-0.2293,0.0383,0.0421,82,79,,*,,*
max_anomaly,Anomalie max moy. (sigma),Nino34,1,-0.2127,0.055,0.0598,-0.2634,0.0168,0.019,82,79,,*,,*
max_anomaly,Anomalie max moy. (sigma),Nino4,1,-0.3053,0.0053,0.0066,-0.3212,0.0033,0.0041,82,78,**,**,**,**
max_anomaly,Anomalie max moy. (sigma),IOD,1,-0.3071,0.005,0.0056,-0.2562,0.0202,0.0218,82,80,**,*,**,*
max_anomaly,Anomalie max moy. (sigma),IOBM,1,-0.2353,0.0333,0.0356,-0.164,0.1409,0.146,82,80,*,,*,
max_anomaly,Anomalie max moy. (sigma),TNA,1,0.0822,0.4631,0.4746,0.0779,0.4866,0.4977,82,78,,,,
max_anomaly,Anomalie max moy. (sigma),TSA,1,0.0506,0.6518,0.658,0.0895,0.4242,0.4331,82,79,,,,
max_anomaly,Anomalie max moy. (sigma),ATL3,1,-0.029,0.7959,0.7997,0.06,0.592,0.5991,82,79,,,,
max_anomaly,Anomalie max moy. (sigma),AMM,1,0.029,0.7962,0.8,0.0696,0.5341,0.5419,82,79,,,,
max_anomaly,Anomalie max moy. (sigma),AMO,1,0.0301,0.7885,0.7925,0.0524,0.6399,0.6463,82,79,,,,
coverage_percent,Couverture spatiale moy. (%),Nino12,1,-0.1001,0.3711,0.3742,-0.1348,0.2274,0.2304,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),Nino3,1,-0.1586,0.1547,0.1573,-0.1838,0.0984,0.1005,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),Nino34,1,-0.1849,0.0964,0.0985,-0.1452,0.1931,0.196,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),Nino4,1,-0.2122,0.0556,0.0572,-0.0955,0.3934,0.3964,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),IOD,1,-0.0524,0.6398,0.6398,-0.0413,0.7127,0.7127,82,82,,,,
coverage_percent,Couverture spatiale moy. (%),IOBM,1,-0.0661,0.5553,0.5553,-0.0038,0.9727,0.9727,82,82,,,,
coverage_percent,Couverture spatiale moy. (%),TNA,1,0.2034,0.0669,0.0686,0.1968,0.0764,0.0782,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),TSA,1,0.1719,0.1225,0.1225,0.1479,0.1849,0.1849,82,82,,,,
coverage_percent,Couverture spatiale moy. (%),ATL3,1,0.1567,0.1598,0.1598,0.1511,0.1755,0.1755,82,82,,,,
coverage_percent,Couverture spatiale moy. (%),AMM,1,0.0392,0.7265,0.7282,0.0599,0.593,0.5953,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),AMO,1,0.2035,0.0667,0.0685,0.2022,0.0685,0.0703,82,81,,,,
n_events,Nombre d evenements,Nino12,1,-0.1745,0.1168,0.1455,-0.1966,0.0767,0.1003,82,71,,,,
n_events,Nombre d evenements,Nino3,1,-0.1551,0.1641,0.1901,-0.1604,0.15,0.1752,82,73,,,,
n_events,Nombre d evenements,Nino34,1,-0.1324,0.2357,0.2675,-0.1224,0.2734,0.3058,82,72,,,,
n_events,Nombre d evenements,Nino4,1,-0.1555,0.1629,0.2019,-0.1569,0.1593,0.198,82,69,,,,
n_events,Nombre d evenements,IOD,1,0.0369,0.7418,0.7531,0.0509,0.65,0.6648,82,75,,,,
n_events,Nombre d evenements,IOBM,1,-0.0342,0.7605,0.7709,-0.0171,0.879,0.8844,82,75,,,,
n_events,Nombre d evenements,TNA,1,0.127,0.2555,0.2912,0.0875,0.4346,0.4683,82,71,,,,
n_events,Nombre d evenements,TSA,1,0.07,0.5319,0.5533,0.0037,0.9738,0.9751,82,74,,,,
