metric,metric_label,index,lag_months,pearson_r,pearson_p,pearson_p_neff,spearman_r,spearman_p,spearman_p_neff,n,n_eff,sig_pearson_nom,sig_spearman_nom,pearson_p_fdr,spearman_p_fdr,sig_pearson,sig_spearman
n_events,Nombre d evenements,AMO,6,0.0469,0.6797,0.6797,0.0205,0.8567,0.8567,80,80,,,0.9431,0.9987,,
max_precip,Precipitation max mensuel (mm),Nino12,9,-0.1541,0.1995,0.1995,-0.1209,0.3151,0.3151,71,71,,,0.9165,0.9602,,
max_precip,Precipitation max mensuel (mm),Nino3,9,-0.1309,0.2764,0.2764,-0.1359,0.2585,0.2585,71,71,,,0.9165,0.9602,,
max_precip,Precipitation max mensuel (mm),Nino34,9,-0.1058,0.38,0.38,-0.1297,0.2811,0.2811,71,71,,,0.9165,0.9602,,
max_precip,Precipitation max mensuel (mm),Nino4,9,-0.0606,0.6154,0.6154,-0.1063,0.3777,0.3777,71,71,,,0.9298,0.9602,,
max_precip,Precipitation max mensuel (mm),IOD,9,0.1016,0.3992,0.3992,0.0593,0.6235,0.6235,71,71,,,0.9165,0.9806,,
max_precip,Precipitation max mensuel (mm),IOBM,9,0.1395,0.2461,0.2461,0.1237,0.3039,0.3039,71,71,,,0.9165,0.9602,,
max_precip,Precipitation max mensuel (mm),TNA,9,0.0255,0.8331,0.8331,0.0416,0.7306,0.7306,71,71,,,0.9796,0.9987,,
max_precip,Precipitation max mensuel (mm),TSA,9,0.2107,0.0778,0.0778,0.2312,0.0524,0.0524,71,71,,,0.9165,0.9602,,
max_precip,Precipitation max mensuel (mm),ATL3,9,0.2558,0.0313,0.0313,0.2226,0.0621,0.0621,71,71,*,,0.9165,0.9602,,
max_precip,Precipitation max mensuel (mm),AMM,9,-0.1407,0.2419,0.2419,-0.0831,0.4907,0.4907,71,71,,,0.9165,0.9602,,
max_precip,Precipitation max mensuel (mm),AMO,9,-0.1341,0.2647,0.2647,-0.1308,0.2769,0.2769,71,71,,,0.9165,0.9602,,
mean_precip,Precipitation moy. (mm),Nino12,9,-0.0426,0.7245,0.7245,-0.0367,0.7613,0.7613,71,71,,,0.9565,0.9987,,
mean_precip,Precipitation moy. (mm),Nino3,9,-0.0448,0.7108,0.7108,-0.0709,0.5571,0.5571,71,71,,,0.9565,0.9806,,
mean_precip,Precipitation moy. (mm),Nino34,9,-0.0628,0.6026,0.6026,-0.103,0.3926,0.3926,71,71,,,0.9298,0.9602,,
mean_precip,Precipitation moy. (mm),Nino4,9,-0.0517,0.6687,0.6687,-0.1023,0.396,0.396,71,71,,,0.9402,0.9602,,
mean_precip,Precipitation moy. (mm),IOD,9,0.2249,0.0593,0.0593,0.2035,0.0888,0.0888,71,71,,,0.9165,0.9602,,
mean_precip,Precipitation moy. (mm),IOBM,9,0.1867,0.1191,0.1191,0.1738,0.1471,0.1471,71,71,,,0.9165,0.9602,,
mean_precip,Precipitation moy. (mm),TNA,9,0.0502,0.6774,0.6774,0.0336,0.7809,0.7809,71,71,,,0.9431,0.9987,,
mean_precip,Precipitation moy. (mm),TSA,9,0.0627,0.6036,0.6036,0.0976,0.4182,0.4182,71,71,,,0.9298,0.9602,,
mean_precip,Precipitation moy. (mm),ATL3,9,0.1686,0.1597,0.1597,0.165,0.1692,0.1692,71,71,,,0.9165,0.9602,,
mean_precip,Precipitation moy. (mm),AMM,9,-0.0131,0.9134,0.9134,0.0056,0.9628,0.9628,71,71,,,0.9796,0.9987,,
mean_precip,Precipitation moy. (mm),AMO,9,-0.0934,0.4385,0.4385,-0.1,0.4068,0.4068,71,71,,,0.9253,0.9602,,
max_anomaly,Anomalie max moy. (sigma),Nino12,9,-0.1535,0.2014,0.2014,-0.261,0.0279,0.0279,71,71,,*,0.9165,0.9602,,
max_anomaly,Anomalie max moy. (sigma),Nino3,9,-0.1213,0.3138,0.3138,-0.1772,0.1392,0.1392,71,71,,,0.9165,0.9602,,
max_anomaly,Anomalie max moy. (sigma),Nino34,9,-0.1035,0.3903,0.3903,-0.0999,0.4072,0.4072,71,71,,,0.9165,0.9602,,
max_anomaly,Anomalie max moy. (sigma),Nino4,9,-0.176,0.1421,0.1421,-0.1369,0.2549,0.2549,71,71,,,0.9165,0.9602,,
max_anomaly,Anomalie max moy. (sigma),IOD,9,-0.1595,0.1841,0.1841,-0.173,0.149,0.149,71,71,,,0.9165,0.9602,,
max_anomaly,Anomalie max moy. (sigma),IOBM,9,-0.1557,0.1949,0.1949,-0.1717,0.1522,0.1522,71,71,,,0.9165,0.9602,,
max_anomaly,Anomalie max moy. (sigma),TNA,9,0.1197,0.3201,0.3201,0.0173,0.8863,0.8863,71,71,,,0.9165,0.9987,,
max_anomaly,Anomalie max moy. (sigma),TSA,9,0.1117,0.3535,0.3535,0.0269,0.8236,0.8236,71,71,,,0.9165,0.9987,,
max_anomaly,Anomalie max moy. (sigma),ATL3,9,0.0129,0.9147,0.9147,-0.0555,0.6455,0.6455,71,71,,,0.9796,0.9859,,
max_anomaly,Anomalie max moy. (sigma),AMM,9,-0.0031,0.9793,0.9793,0.019,0.8752,0.8752,71,71,,,0.9922,0.9987,,
max_anomaly,Anomalie max moy. (sigma),AMO,9,0.0731,0.5446,0.5446,-0.0425,0.725,0.725,71,71,,,0.9298,0.9987,,
coverage_percent,Couverture spatiale moy. (%),Nino12,9,-0.0212,0.861,0.8682,-0.0394,0.7444,0.7574,71,64,,,0.9796,0.9987,,
coverage_percent,Couverture spatiale moy. (%),Nino3,9,0.0584,0.6286,0.6415,-0.0002,0.9987,0.9987,71,66,,,0.9371,0.9987,,
coverage_percent,Couverture spatiale moy. (%),Nino34,9,0.134,0.2653,0.2873,0.0626,0.604,0.6203,71,65,,,0.9165,0.9806,,
coverage_percent,Couverture spatiale moy. (%),Nino4,9,0.1303,0.2789,0.3129,0.0756,0.5312,0.5595,71,62,,,0.9165,0.9806,,
coverage_percent,Couverture spatiale moy. (%),IOD,9,0.0262,0.8281,0.8344,-0.0694,0.5651,0.5797,71,66,,,0.9796,0.9806,,
coverage_percent,Couverture spatiale moy. (%),IOBM,9,0.0049,0.9676,0.9691,0.0987,0.413,0.4343,71,65,,,0.9885,0.9602,,
coverage_percent,Couverture spatiale moy. (%),TNA,9,-0.085,0.4809,0.4974,0.0871,0.47,0.4867,71,66,,,0.9298,0.9602,,
coverage_percent,Couverture spatiale moy. (%),TSA,9,-0.0716,0.553,0.574,-0.0516,0.6691,0.6855,71,64,,,0.9298,0.9987,,
coverage_percent,Couverture spatiale moy. (%),ATL3,9,0.0628,0.6027,0.6219,0.0187,0.8771,0.8835,71,64,,,0.9298,0.9987,,
coverage_percent,Couverture spatiale moy. (%),AMM,9,-0.0036,0.9763,0.9772,0.1252,0.2981,0.3164,71,66,,,0.9922,0.9602,,
coverage_percent,Couverture spatiale moy. (%),AMO,9,-0.1192,0.3221,0.3442,-0.0416,0.7306,0.7422,71,65,,,0.9165,0.9987,,
n_events,Nombre d evenements,Nino12,9,-0.0839,0.4593,0.4593,-0.0655,0.5637,0.5637,80,80,,,0.9264,0.9806,,
n_events,Nombre d evenements,Nino3,9,-0.1545,0.1711,0.1711,-0.135,0.2323,0.2323,80,80,,,0.9165,0.9602,,
n_events,Nombre d evenements,Nino34,9,-0.172,0.1271,0.1271,-0.16,0.1562,0.1562,80,80,,,0.9165,0.9602,,
n_events,Nombre d evenements,Nino4,9,-0.1859,0.0987,0.0987,-0.1904,0.0908,0.0908,80,80,,,0.9165,0.9602,,
n_events,Nombre d evenements,IOD,9,-0.086,0.4479,0.4479,-0.0863,0.4465,0.4465,80,80,,,0.9264,0.9602,,
n_events,Nombre d evenements,IOBM,9,0.0084,0.9407,0.9407,-0.0357,0.7531,0.7531,80,80,,,0.9842,0.9987,,
n_events,Nombre d evenements,TNA,9,0.1316,0.2446,0.2446,0.1308,0.2476,0.2476,80,80,,,0.9165,0.9602,,
n_events,Nombre d evenements,TSA,9,0.1658,0.1417,0.1417,0.169,0.134,0.134,80,80,,,0.9165,0.9602,,
n_events,Nombre d evenements,ATL3,9,0.0772,0.496,0.496,0.0943,0.4053,0.4053,80,80,,,0.9298,0.9602,,
n_events,Nombre d evenements,AMM,9,-0.0401,0.7238,0.7238,-0.0345,0.7612,0.7612,80,80,,,0.9565,0.9987,,
n_events,Nombre d evenements,AMO,9,-0.0015,0.9892,0.9892,-0.0189,0.8676,0.8676,80,80,,,0.9944,0.9987,,
max_precip,Precipitation max mensuel (mm),Nino12,12,-0.2303,0.0534,0.0534,-0.2201,0.0652,0.0652,71,71,,,0.9165,0.9602,,
max_precip,Precipitation max mensuel (mm),Nino3,12,-0.2368,0.0468,0.0468,-0.1408,0.2414,0.2414,71,71,*,,0.9165,0.9602,,
max_precip,Precipitation max mensuel (mm),Nino34,12,-0.1469,0.2214,0.2214,-0.0676,0.5754,0.5754,71,71,,,0.9165,0.9806,,
max_precip,Precipitation max mensuel (mm),Nino4,12,-0.0171,0.8875,0.8875,0.0014,0.9909,0.9909,71,71,,,0.9796,0.9987,,
max_precip,Precipitation max mensuel (mm),IOD,12,-0.192,0.1087,0.1087,-0.2056,0.0854,0.0854,71,71,,,0.9165,0.9602,,
max_precip,Precipitation max mensuel (mm),IOBM,12,-0.1291,0.2833,0.2833,-0.1693,0.1581,0.1581,71,71,,,0.9165,0.9602,,
max_precip,Precipitation max mensuel (mm),TNA,12,-0.0728,0.5464,0.5464,0.016,0.8949,0.8949,71,71,,,0.9298,0.9987,,
max_precip,Precipitation max mensuel (mm),TSA,12,0.1518,0.2064,0.2064,0.1158,0.3364,0.3364,71,71,,,0.9165,0.9602,,
max_precip,Precipitation max mensuel (mm),ATL3,12,0.1942,0.1047,0.1047,0.1656,0.1676,0.1676,71,71,,,0.9165,0.9602,,
max_precip,Precipitation max mensuel (mm),AMM,12,-0.1556,0.195,0.195,-0.0822,0.4954,0.4954,71,71,,,0.9165,0.9602,,
max_precip,Precipitation max mensuel (mm),AMO,12,0.0711,0.5557,0.5557,0.0821,0.4963,0.4963,71,71,,,0.9298,0.9602,,
