longitude,latitude,event_date,pixel_id,precipitation_mm,anomaly_standardized,climatology_mm,is_extreme,is_intense,intensity_category,anomaly_category,region,climate_zone,season_phase,phase_description,year,month,day,day_of_year,precip_percentile,anomaly_percentile,distance_to_coast
-14.375,12.875,1985-08-06,1985-08-06_002_012,55.48445129394531,3.023364305496216,11.126153945922852,True,True,très forte,exceptionelle,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,55.71533923891924,3.0320069825828972,339.12890625
-14.125,12.875,1985-08-06,1985-08-06_002_013,125.19918823242188,5.116249084472656,12.071199417114258,True,True,extrême,exceptionelle,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,125.27316130825028,5.119433368270721,366.25921630859375
-13.875,12.875,1985-08-06,1985-08-06_002_014,154.91224670410156,5.1829514503479,13.818593978881836,True,True,extrême,exceptionelle,Tambacounda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,155.22460051876848,5.183574132583848,393.3895263671875
-13.625,12.875,1985-08-06,1985-08-06_002_015,171.60330200195312,5.6929450035095215,12.578831672668457,True,True,extrême,exceptionelle,Tambacounda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,171.70050370872912,5.694128249757854,420.51983642578125
-13.375,12.875,1985-08-06,1985-08-06_002_016,139.06365966796875,5.8648223876953125,9.77842903137207,True,True,extrême,exceptionelle,Tambacounda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,139.18664696468187,5.8654330459671415,447.6501770019531
-13.125,12.875,1985-08-06,1985-08-06_002_017,127.03926849365234,5.659031867980957,10.532307624816895,True,True,extrême,exceptionelle,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,127.49244906554861,5.659286761403683,474.78045654296875
-12.875,12.875,1985-08-06,1985-08-06_002_018,120.77295684814453,5.470366477966309,11.25403881072998,True,True,extrême,exceptionelle,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,120.96201698264886,5.471659487815359,501.9107666015625
-12.625,12.875,1985-08-06,1985-08-06_002_019,79.4701156616211,4.90648078918457,10.057008743286133,True,True,très forte,exceptionelle,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,79.48362889122124,4.9170219095508045,529.0410766601562
-12.375,12.875,1985-08-06,1985-08-06_002_020,70.1596450805664,4.479970455169678,9.18759822845459,True,True,très forte,exceptionelle,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,70.34188079833989,4.480173848981234,556.1714477539062
-12.125,12.875,1985-08-06,1985-08-06_002_021,42.251495361328125,3.0935018062591553,8.17482852935791,True,True,forte,exceptionelle,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,42.52064990518086,3.1007727390557656,583.3016967773438
-11.875,12.875,1985-08-06,1985-08-06_002_022,40.210872650146484,3.0861501693725586,8.03525447845459,True,True,forte,exceptionelle,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,40.22453022482407,3.0872030419919962,610.4320068359375
-11.625,12.875,1985-08-06,1985-08-06_002_023,25.971942901611328,2.3042609691619873,7.343742847442627,True,True,forte,très humide,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,26.227165917056325,2.3081725194825595,637.5623779296875
-11.375,12.875,1985-08-06,1985-08-06_002_024,27.326326370239258,2.338404655456543,7.646590709686279,True,True,forte,très humide,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,27.400058401289918,2.3453716866335075,664.6926879882812
-16.625,13.125,1985-08-06,1985-08-06_003_003,5.894664287567139,-0.4183133840560913,10.620944023132324,False,False,modérée,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,5.9005772444471045,-0.41684063924616904,94.86048126220703
-16.375,13.125,1985-08-06,1985-08-06_003_004,6.426680088043213,-0.3370356857776642,9.966801643371582,False,False,modérée,normale,Ziguinchor,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,6.437099507106607,-0.33593408733456587,121.9634780883789
-16.125,13.125,1985-08-06,1985-08-06_003_005,2.3763344287872314,-0.6661061644554138,9.576619148254395,False,False,faible,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,2.399164550867513,-0.6645569814809004,149.0664825439453
-15.875,13.125,1985-08-06,1985-08-06_003_006,2.187450647354126,-0.6638236045837402,9.136165618896484,False,False,faible,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,2.239973838005836,-0.6637568485796751,176.1694793701172
-15.625,13.125,1985-08-06,1985-08-06_003_007,6.460123062133789,-0.2744602560997009,10.202679634094238,False,False,modérée,normale,Sédhiou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,6.511527248363398,-0.2707877031073497,203.27247619628906
-15.375,13.125,1985-08-06,1985-08-06_003_008,5.799034595489502,-0.25017911195755005,8.849141120910645,False,False,modérée,normale,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,5.829789873343616,-0.24853775886135496,230.37545776367188
-15.125,13.125,1985-08-06,1985-08-06_003_009,9.618973731994629,-0.038132622838020325,10.091490745544434,False,False,modérée,normale,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1985,8,6,218,9.783534466920802,-0.0361677596354904,257.47845458984375
