longitude,latitude,event_date,selection_criterion,pixel_id,precipitation_mm,anomaly_standardized,climatology_mm,is_extreme,is_intense,intensity_category,anomaly_category,region,climate_zone,season_phase,phase_description,year,month,day,day_of_year,precip_percentile,anomaly_percentile,distance_to_coast
-15.125,12.625,1984-07-04,plus_petite_couverture,1984-07-04_001_009,0.8308013081550598,-0.5320505499839783,7.810013294219971,False,False,trace,normale,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,0.8394796030605258,-0.5067258153728504,257.9925842285156
-14.875,12.625,1984-07-04,plus_petite_couverture,1984-07-04_001_010,5.479019641876221,-0.19658321142196655,8.137402534484863,False,False,modérée,normale,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,5.493766087383481,-0.19631722524537512,285.1496887207031
-14.625,12.625,1984-07-04,plus_petite_couverture,1984-07-04_001_011,7.246623516082764,-0.02348785288631916,7.540310859680176,False,False,modérée,normale,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,7.250309452938674,-0.021102409182706113,312.3067932128906
-14.375,12.625,1984-07-04,plus_petite_couverture,1984-07-04_001_012,7.875563144683838,0.1312142163515091,6.510726451873779,False,False,modérée,normale,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,7.893449018948043,0.13823026860479154,339.4638977050781
-14.125,12.625,1984-07-04,plus_petite_couverture,1984-07-04_001_013,2.97694730758667,-0.3622357249259949,6.352450847625732,False,False,faible,normale,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,2.9785130724835036,-0.3615854172850374,366.6210021972656
-13.875,12.625,1984-07-04,plus_petite_couverture,1984-07-04_001_014,4.444933891296387,-0.22535458207130432,6.492888927459717,False,False,faible,normale,Kolda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,4.469211392666228,-0.22195568373754382,393.77813720703125
-13.625,12.625,1984-07-04,plus_petite_couverture,1984-07-04_001_015,6.862062931060791,0.13107085227966309,5.813009262084961,False,False,modérée,normale,Tambacounda,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,6.864023488969659,0.1311360505133418,420.93524169921875
-13.375,12.625,1984-07-04,plus_petite_couverture,1984-07-04_001_016,9.861971855163574,0.5382814407348633,5.759108066558838,False,False,modérée,normale,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,9.874417784225999,0.5403423679234395,448.09234619140625
-13.125,12.625,1984-07-04,plus_petite_couverture,1984-07-04_001_017,12.461886405944824,0.8139118552207947,6.031417369842529,False,False,modérée,normale,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,12.472581245192329,0.8152508624834032,475.24945068359375
-12.875,12.625,1984-07-04,plus_petite_couverture,1984-07-04_001_018,12.645868301391602,0.8471155166625977,5.892969608306885,False,False,modérée,normale,Kédougou,Zone soudanienne,Phase_2_pleine,Pleine saison (Juillet-Août),1984,7,4,186,12.679298098961924,0.8481198758935209,502.40655517578125
